MatchDay,GD
0,0
1,0
2,-1
3,8
4,9
5,9
6,9
7,8
8,9
9,10
10,9
11,8
12,9
13,11
14,13
15,14
16,12
17,9
18,9
19,6
20,8
21,10
22,10
23,12
24,19
25,18
26,15
27,15
28,15
29,20
30,21
31,22
32,23
33,24
34,25
35,28
36,28
37,28
