MatchDay,GD
0,2
1,6
2,6
3,8
4,14
5,14
6,17
7,20
8,24
9,23
10,25
11,26
12,27
13,26
14,28
15,28
16,29
17,28
18,30
19,33
20,32
21,34
22,36
23,36
24,39
25,41
26,42
27,45
28,48
29,50
30,53
31,54
32,57
33,58
34,61
35,62
36,62
37,61
