MatchDay,GD
0,-1
1,-5
2,-4
3,-3
4,-2
5,0
6,-3
7,-2
8,-2
9,0
10,0
11,1
12,-1
13,0
14,3
15,4
16,7
17,8
18,8
19,7
20,8
21,8
22,10
23,13
24,6
25,6
26,4
27,5
28,7
29,9
30,9
31,10
32,9
33,8
34,10
35,11
36,14
37,15
