MatchDay,GD
0,1
1,1
2,-2
3,-1
4,-2
5,-1
6,0
7,3
8,5
9,5
10,5
11,2
12,1
13,0
14,2
15,2
16,1
17,0
18,1
19,1
20,1
21,1
22,0
23,-2
24,-1
25,1
26,1
27,-1
28,-1
29,-2
30,-3
31,-5
32,-7
33,-5
34,-5
35,-6
36,-9
37,-9
