MatchDay,GD
0,2
1,4
2,7
3,8
4,9
5,7
6,10
7,12
8,13
9,14
10,14
11,19
12,20
13,22
14,24
15,26
16,26
17,28
18,29
19,28
20,28
21,26
22,28
23,29
24,33
25,34
26,37
27,40
28,43
29,43
30,43
31,43
32,40
33,42
34,44
35,41
36,40
37,45
